n_ind	rep	grp	method	n_called	TP	FP	FN	FDR	power	precision	F1
100	46	Consensus rule	6 of 7	13	13	0	37	0	0.26	1	0.412698412698413
100	46	Consensus rule	Intersect (7 of 7)	10	10	0	40	0	0.2	1	0.333333333333333
100	47	Individual tool	edgeR	189	30	159	20	0.841269841269841	0.6	0.158730158730159	0.251046025104602
100	47	Individual tool	DESeq2	58	25	33	25	0.568965517241379	0.5	0.431034482758621	0.462962962962963
100	47	Individual tool	ALDEx2	24	17	7	33	0.291666666666667	0.34	0.708333333333333	0.45945945945946
100	47	Individual tool	metaSeq	43	24	19	26	0.441860465116279	0.48	0.558139534883721	0.516129032258064
100	47	Individual tool	ADAPT	26	25	1	25	0.0384615384615385	0.5	0.961538461538462	0.657894736842105
100	47	Individual tool	ANCOMBC2	78	20	58	30	0.743589743589744	0.4	0.256410256410256	0.3125
100	47	Individual tool	MaAsLin3	16	15	1	35	0.0625	0.3	0.9375	0.454545454545455
100	47	Consensus rule	Union (1 of 7)	219	33	186	17	0.849315068493151	0.66	0.150684931506849	0.245353159851301
100	47	Consensus rule	2 of 7	92	28	64	22	0.695652173913043	0.56	0.304347826086957	0.394366197183099
100	47	Consensus rule	3 of 7	46	25	21	25	0.456521739130435	0.5	0.543478260869565	0.520833333333333
100	47	Consensus rule	4 of 7	31	24	7	26	0.225806451612903	0.48	0.774193548387097	0.592592592592593
100	47	Consensus rule	5 of 7	21	21	0	29	0	0.42	1	0.591549295774648
100	47	Consensus rule	6 of 7	15	15	0	35	0	0.3	1	0.461538461538462
100	47	Consensus rule	Intersect (7 of 7)	10	10	0	40	0	0.2	1	0.333333333333333
100	48	Individual tool	edgeR	111	29	82	21	0.738738738738739	0.58	0.261261261261261	0.360248447204969
100	48	Individual tool	DESeq2	34	22	12	28	0.352941176470588	0.44	0.647058823529412	0.523809523809524
100	48	Individual tool	ALDEx2	16	16	0	34	0	0.32	1	0.484848484848485
100	48	Individual tool	metaSeq	23	20	3	30	0.130434782608696	0.4	0.869565217391304	0.547945205479452
100	48	Individual tool	ADAPT	23	23	0	27	0	0.46	1	0.63013698630137
100	48	Individual tool	ANCOMBC2	58	12	46	38	0.793103448275862	0.24	0.206896551724138	0.222222222222222
100	48	Individual tool	MaAsLin3	7	7	0	43	0	0.14	1	0.245614035087719
100	48	Consensus rule	Union (1 of 7)	148	31	117	19	0.790540540540541	0.62	0.209459459459459	0.313131313131313
100	48	Consensus rule	2 of 7	46	24	22	26	0.478260869565217	0.48	0.521739130434783	0.5
100	48	Consensus rule	3 of 7	26	22	4	28	0.153846153846154	0.44	0.846153846153846	0.578947368421053
100	48	Consensus rule	4 of 7	20	20	0	30	0	0.4	1	0.571428571428572
100	48	Consensus rule	5 of 7	16	16	0	34	0	0.32	1	0.484848484848485
100	48	Consensus rule	6 of 7	9	9	0	41	0	0.18	1	0.305084745762712
100	48	Consensus rule	Intersect (7 of 7)	7	7	0	43	0	0.14	1	0.245614035087719
100	49	Individual tool	edgeR	197	31	166	19	0.842639593908629	0.62	0.157360406091371	0.251012145748988
100	49	Individual tool	DESeq2	58	22	36	28	0.620689655172414	0.44	0.379310344827586	0.407407407407407
100	49	Individual tool	ALDEx2	29	20	9	30	0.310344827586207	0.4	0.689655172413793	0.506329113924051
100	49	Individual tool	metaSeq	30	21	9	29	0.3	0.42	0.7	0.525
100	49	Individual tool	ADAPT	24	24	0	26	0	0.48	1	0.648648648648649
100	49	Individual tool	ANCOMBC2	78	16	62	34	0.794871794871795	0.32	0.205128205128205	0.25
100	49	Individual tool	MaAsLin3	15	13	2	37	0.133333333333333	0.26	0.866666666666667	0.4
100	49	Consensus rule	Union (1 of 7)	221	36	185	14	0.83710407239819	0.72	0.16289592760181	0.265682656826568
100	49	Consensus rule	2 of 7	97	26	71	24	0.731958762886598	0.52	0.268041237113402	0.353741496598639
100	49	Consensus rule	3 of 7	39	23	16	27	0.41025641025641	0.46	0.58974358974359	0.51685393258427
100	49	Consensus rule	4 of 7	30	21	9	29	0.3	0.42	0.7	0.525
100	49	Consensus rule	5 of 7	22	19	3	31	0.136363636363636	0.38	0.863636363636364	0.527777777777778
100	49	Consensus rule	6 of 7	13	13	0	37	0	0.26	1	0.412698412698413
100	49	Consensus rule	Intersect (7 of 7)	9	9	0	41	0	0.18	1	0.305084745762712
100	50	Individual tool	edgeR	177	34	143	16	0.807909604519774	0.68	0.192090395480226	0.299559471365639
100	50	Individual tool	DESeq2	67	25	42	25	0.626865671641791	0.5	0.373134328358209	0.427350427350427
100	50	Individual tool	ALDEx2	21	21	0	29	0	0.42	1	0.591549295774648
100	50	Individual tool	metaSeq	34	24	10	26	0.294117647058824	0.48	0.705882352941177	0.571428571428571
100	50	Individual tool	ADAPT	25	25	0	25	0	0.5	1	0.666666666666667
100	50	Individual tool	ANCOMBC2	73	17	56	33	0.767123287671233	0.34	0.232876712328767	0.276422764227642
100	50	Individual tool	MaAsLin3	15	14	1	36	0.0666666666666667	0.28	0.933333333333333	0.430769230769231
100	50	Consensus rule	Union (1 of 7)	209	36	173	14	0.827751196172249	0.72	0.172248803827751	0.277992277992278
100	50	Consensus rule	2 of 7	87	27	60	23	0.689655172413793	0.54	0.310344827586207	0.394160583941606
100	50	Consensus rule	3 of 7	41	26	15	24	0.365853658536585	0.52	0.634146341463415	0.571428571428571
100	50	Consensus rule	4 of 7	28	24	4	26	0.142857142857143	0.48	0.857142857142857	0.615384615384615
100	50	Consensus rule	5 of 7	21	21	0	29	0	0.42	1	0.591549295774648
100	50	Consensus rule	6 of 7	14	14	0	36	0	0.28	1	0.4375
100	50	Consensus rule	Intersect (7 of 7)	12	12	0	38	0	0.24	1	0.387096774193548
100	51	Individual tool	edgeR	130	30	100	20	0.769230769230769	0.6	0.230769230769231	0.333333333333333
100	51	Individual tool	DESeq2	40	23	17	27	0.425	0.46	0.575	0.511111111111111
100	51	Individual tool	ALDEx2	16	16	0	34	0	0.32	1	0.484848484848485
100	51	Individual tool	metaSeq	22	21	1	29	0.0454545454545455	0.42	0.954545454545455	0.583333333333333
100	51	Individual tool	ADAPT	24	24	0	26	0	0.48	1	0.648648648648649
100	51	Individual tool	ANCOMBC2	51	12	39	38	0.764705882352941	0.24	0.235294117647059	0.237623762376238
100	51	Individual tool	MaAsLin3	10	9	1	41	0.1	0.18	0.9	0.3
100	51	Consensus rule	Union (1 of 7)	157	31	126	19	0.802547770700637	0.62	0.197452229299363	0.29951690821256
100	51	Consensus rule	2 of 7	53	26	27	24	0.509433962264151	0.52	0.490566037735849	0.504854368932039
100	51	Consensus rule	3 of 7	26	22	4	28	0.153846153846154	0.44	0.846153846153846	0.578947368421053
100	51	Consensus rule	4 of 7	23	22	1	28	0.0434782608695652	0.44	0.956521739130435	0.602739726027397
100	51	Consensus rule	5 of 7	16	16	0	34	0	0.32	1	0.484848484848485
