replicate	tool	TP	FP	FN	precision	recall	F1	empirical_FDR	n_called
65	Vote_2of7	73	265	27	0.215976331	0.73	0.333333333	0.784023669	338
65	Vote_3of7	68	43	32	0.612612613	0.68	0.644549763	0.387387387	111
65	Vote_4of7	60	14	40	0.810810811	0.6	0.689655172	0.189189189	74
65	Vote_5of7	55	3	45	0.948275862	0.55	0.696202532	0.051724138	58
65	Vote_6of7	40	2	60	0.952380952	0.4	0.563380282	0.047619048	42
65	Intersect	31	0	69	1	0.31	0.473282443	0	31
65	Fisher	78	568	22	0.120743034	0.78	0.209115282	0.879256966	646
65	Stouffer	76	394	24	0.161702128	0.76	0.266666667	0.838297872	470
65	Cauchy	79	655	21	0.107629428	0.79	0.189448441	0.892370572	734
66	edgeR	85	768	15	0.0996483	0.85	0.17838405	0.9003517	853
66	DESeq2	70	157	30	0.308370044	0.7	0.428134557	0.691629956	227
66	ALDEx2	59	4	41	0.936507937	0.59	0.72392638	0.063492063	63
66	metaSeq	77	24	23	0.762376238	0.77	0.766169154	0.237623762	101
66	ADAPT	80	10	20	0.888888889	0.8	0.842105263	0.111111111	90
66	ANCOMBC2	40	339	60	0.105540897	0.4	0.167014614	0.894459103	379
66	MaAsLin3	43	14	57	0.754385965	0.43	0.547770701	0.245614035	57
66	Union	85	913	15	0.085170341	0.85	0.154826958	0.914829659	998
66	Vote_2of7	80	307	20	0.206718346	0.8	0.328542094	0.793281654	387
66	Vote_3of7	79	71	21	0.526666667	0.79	0.632	0.473333333	150
66	Vote_4of7	68	19	32	0.781609195	0.68	0.727272727	0.218390805	87
66	Vote_5of7	59	5	41	0.921875	0.59	0.719512195	0.078125	64
66	Vote_6of7	46	1	54	0.978723404	0.46	0.62585034	0.021276596	47
66	Intersect	37	0	63	1	0.37	0.540145985	0	37
66	Fisher	84	627	16	0.11814346	0.84	0.207151665	0.88185654	711
66	Stouffer	82	407	18	0.167689162	0.82	0.278438031	0.832310838	489
66	Cauchy	84	689	16	0.108667529	0.84	0.192439863	0.891332471	773
67	edgeR	79	837	21	0.086244541	0.79	0.155511811	0.913755459	916
67	DESeq2	68	144	32	0.320754717	0.68	0.435897436	0.679245283	212
67	ALDEx2	60	8	40	0.882352941	0.6	0.714285714	0.117647059	68
67	metaSeq	71	16	29	0.816091954	0.71	0.759358289	0.183908046	87
67	ADAPT	72	14	28	0.837209302	0.72	0.774193548	0.162790698	86
67	ANCOMBC2	41	347	59	0.105670103	0.41	0.168032787	0.894329897	388
67	MaAsLin3	36	16	64	0.692307692	0.36	0.473684211	0.307692308	52
67	Union	79	946	21	0.077073171	0.79	0.140444444	0.922926829	1025
67	Vote_2of7	72	334	28	0.177339901	0.72	0.28458498	0.822660099	406
67	Vote_3of7	72	77	28	0.483221477	0.72	0.578313253	0.516778523	149
67	Vote_4of7	67	18	33	0.788235294	0.67	0.724324324	0.211764706	85
67	Vote_5of7	62	7	38	0.898550725	0.62	0.733727811	0.101449275	69
67	Vote_6of7	42	0	58	1	0.42	0.591549296	0	42
67	Intersect	33	0	67	1	0.33	0.496240602	0	33
67	Fisher	78	661	22	0.105548038	0.78	0.185935638	0.894451962	739
67	Stouffer	76	443	24	0.146435453	0.76	0.245557351	0.853564547	519
67	Cauchy	77	748	23	0.093333333	0.77	0.166486486	0.906666667	825
68	edgeR	79	692	21	0.102464332	0.79	0.181400689	0.897535668	771
68	DESeq2	62	100	38	0.382716049	0.62	0.473282443	0.617283951	162
68	ALDEx2	59	0	41	1	0.59	0.742138365	0	59
68	metaSeq	66	10	34	0.868421053	0.66	0.75	0.131578947	76
68	ADAPT	66	4	34	0.942857143	0.66	0.776470588	0.057142857	70
68	ANCOMBC2	27	424	73	0.059866962	0.27	0.09800363	0.940133038	451
68	MaAsLin3	27	5	73	0.84375	0.27	0.409090909	0.15625	32
68	Union	80	880	20	0.083333333	0.8	0.150943396	0.916666667	960
68	Vote_2of7	67	285	33	0.190340909	0.67	0.296460177	0.809659091	352
68	Vote_3of7	66	59	34	0.528	0.66	0.586666667	0.472	125
68	Vote_4of7	62	9	38	0.873239437	0.62	0.725146199	0.126760563	71
68	Vote_5of7	57	2	43	0.966101695	0.57	0.716981132	0.033898305	59
68	Vote_6of7	31	0	69	1	0.31	0.473282443	0	31
68	Intersect	23	0	77	1	0.23	0.37398374	0	23
68	Fisher	73	552	27	0.1168	0.73	0.20137931	0.8832	625
68	Stouffer	71	358	29	0.165501166	0.71	0.268431002	0.834498834	429
68	Cauchy	74	616	26	0.107246377	0.74	0.187341772	0.892753623	690
69	edgeR	73	818	27	0.081930415	0.73	0.147325933	0.918069585	891
69	DESeq2	64	166	36	0.27826087	0.64	0.387878788	0.72173913	230
69	ALDEx2	52	14	48	0.787878788	0.52	0.626506024	0.212121212	66
69	metaSeq	64	15	36	0.810126582	0.64	0.715083799	0.189873418	79
69	ADAPT	70	8	30	0.897435897	0.7	0.786516854	0.102564103	78
69	ANCOMBC2	33	335	67	0.089673913	0.33	0.141025641	0.910326087	368
69	MaAsLin3	30	18	70	0.625	0.3	0.405405405	0.375	48
69	Union	74	933	26	0.073485601	0.74	0.13369467	0.926514399	1007
